<pre>Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
synMTS_1_201_atp9	0.007	No mitochondrial presequence	27(MPP)	-0.037	2-6,74-78	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_202_atp9	0.003	No mitochondrial presequence	28(MPP)	0.036	7-11,84-88	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_203_atp9	0.015	No mitochondrial presequence	18(MPP)	0.222	2-6	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_204_atp9	0.025	No mitochondrial presequence	30(MPP), 31(Icp55)	0.033	67-71,87-91	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_205_atp9	0.003	No mitochondrial presequence	61(MPP)	-0.049	14-18,38-42,58-62,67-71	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_206_atp9	0.001	No mitochondrial presequence	5(MPP)	-0.200	62-66	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_207_atp9	0.005	No mitochondrial presequence	91(MPP)	-0.033	57-61	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_208_atp9	0.000	No mitochondrial presequence	12(MPP)	0.000	89-93	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_209_atp9	0.032	No mitochondrial presequence	20(MPP)	-0.050	33-37,44-48,83-87	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_210_atp9	0.007	No mitochondrial presequence	36(MPP)	-0.083	70-74	7-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_211_atp9	0.018	No mitochondrial presequence	95(MPP)	0.063	33-37,46-50,61-65	19-28-high	-	-	-	-	-	-	-	-	-	20-25	-	-	-	-	
synMTS_1_212_atp9	0.006	No mitochondrial presequence	21(MPP)	-0.048	12-16,48-52,53-57,95-99	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_213_atp9	0.027	No mitochondrial presequence	87(MPP)	0.034	19-23,53-57	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_214_atp9	0.009	No mitochondrial presequence	35(MPP)	0.057	17-21,29-33,47-51	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_215_atp9	0.007	No mitochondrial presequence	5(MPP)	-0.200	40-44,44-48,71-75	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_216_atp9	0.001	No mitochondrial presequence	7(MPP), 15(Oct1)	-0.143		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_217_atp9	0.014	No mitochondrial presequence	9(MPP)	0.333	51-55	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_218_atp9	0.001	No mitochondrial presequence	6(MPP)	-0.333	70-74	5-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_219_atp9	0.008	No mitochondrial presequence	6(MPP)	-0.500	33-37,91-95	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_220_atp9	0.022	No mitochondrial presequence	8(MPP)	-0.250	1-5,69-73,82-86	1-10-high	-	-	-	-	-	-	-	-	-	10-15	-	-	-	-	
synMTS_1_221_atp9	0.005	No mitochondrial presequence	24(MPP)	0.000	31-35,94-98	1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_222_atp9	0.008	No mitochondrial presequence	41(MPP)	0.049	73-77,92-96	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_223_atp9	0.001	No mitochondrial presequence	23(MPP)	-0.087	7-11,74-78	6-16-high	-	-	-	-	-	-	-	-	5-10	-	-	-	-	-	
synMTS_1_224_atp9	0.005	No mitochondrial presequence	44(MPP)	0.068	23-27	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_225_atp9	0.013	No mitochondrial presequence	35(MPP)	-0.029	13-17,29-33,83-87	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_226_atp9	0.008	No mitochondrial presequence	8(MPP)	-0.375	87-91	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_227_atp9	0.001	No mitochondrial presequence	32(MPP)	-0.125		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_228_atp9	0.012	No mitochondrial presequence	34(MPP)	0.059		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_229_atp9	0.001	No mitochondrial presequence	6(MPP)	-0.167		11-20-low	-	-	-	-	-	-	-	-	5-10	-	-	-	-	-	
