<pre>Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
synMTS_1_201_coa4	0.018	No mitochondrial presequence	14(MPP)	0.000	2-6	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_202_coa4	0.006	No mitochondrial presequence	56(MPP)	0.036	7-11	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_203_coa4	0.248	No mitochondrial presequence	72(MPP), 73(Icp55)	0.042	2-6	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_204_coa4	0.051	No mitochondrial presequence	70(MPP)	0.057	67-71,87-91	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_205_coa4	0.006	No mitochondrial presequence	41(MPP)	-0.049	14-18,38-42,58-62	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_206_coa4	0.002	No mitochondrial presequence	36(MPP)	0.000		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_207_coa4	0.011	No mitochondrial presequence	28(MPP)	-0.036		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_208_coa4	0.001	No mitochondrial presequence	11(MPP)	0.000		20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_209_coa4	0.054	No mitochondrial presequence	36(MPP)	0.028	33-37,44-48	1-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_210_coa4	0.006	No mitochondrial presequence	36(MPP)	-0.083		7-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_211_coa4	0.097	No mitochondrial presequence	42(MPP)	0.048	33-37,46-50	19-28-high	-	-	-	-	-	-	-	-	-	20-25	-	-	-	-	
synMTS_1_212_coa4	0.030	No mitochondrial presequence	28(MPP), 29(Icp55)	0.000	12-16,48-52,53-57	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_213_coa4	0.035	No mitochondrial presequence	22(MPP)	0.000	19-23	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_214_coa4	0.026	No mitochondrial presequence	50(MPP)	0.040	17-21,29-33,47-51	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_215_coa4	0.005	No mitochondrial presequence	5(MPP)	-0.200	40-44,44-48	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_216_coa4	0.006	No mitochondrial presequence	32(MPP)	0.062		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_217_coa4	0.024	No mitochondrial presequence	9(MPP)	0.333	51-55	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_218_coa4	0.004	No mitochondrial presequence	49(MPP)	-0.102		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_219_coa4	0.007	No mitochondrial presequence	6(MPP)	-0.500	33-37	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_220_coa4	0.057	No mitochondrial presequence	52(MPP), 60(Oct1)	0.115	1-5,69-73,82-86	1-10-high	-	-	-	-	-	-	-	-	-	10-15	-	-	-	-	
synMTS_1_221_coa4	0.039	No mitochondrial presequence	24(MPP)	0.000	31-35	1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_222_coa4	0.026	No mitochondrial presequence	21(MPP)	0.000	73-77	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_223_coa4	0.003	No mitochondrial presequence	59(MPP)	-0.102	7-11	6-16-high	-	-	-	-	-	-	-	-	5-10	-	-	-	-	-	
synMTS_1_224_coa4	0.012	No mitochondrial presequence	66(MPP)	0.030	23-27	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_225_coa4	0.011	No mitochondrial presequence	40(MPP)	-0.025	13-17,29-33	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_226_coa4	0.010	No mitochondrial presequence	51(MPP)	-0.059	87-91	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_227_coa4	0.003	No mitochondrial presequence	59(MPP)	-0.051		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_228_coa4	0.021	No mitochondrial presequence	21(MPP)	0.095		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_229_coa4	0.007	No mitochondrial presequence	10(MPP)	0.100		11-20-low	-	-	-	-	-	-	-	-	5-10	-	-	-	-	-	
synMTS_1_230_coa4	0.185	No mitochondrial presequence	55(MPP)	0.073	7-11,30-34	4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_231_coa4	0.046	No mitochondrial presequence	19(MPP)	0.105		1-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_232_coa4	0.016	No mitochondrial presequence	35(MPP)	0.086	23-27	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_233_coa4	0.088	No mitochondrial presequence	12(MPP)	0.000	9-13	2-13-high	11-16	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_234_coa4	0.032	No mitochondrial presequence	35(MPP)	-0.029		13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_235_coa4	0.001	No mitochondrial presequence	53(MPP)	-0.075		2-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_236_coa4	0.000	No mitochondrial presequence	43(MPP)	0.023	25-29	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_237_coa4	0.292	No mitochondrial presequence	47(MPP)	0.085	7-11,12-16,16-20,19-23,44-48,78-82,83-87	12-21-high	-	-	-	-	19-24	-	-	-	-	-	-	15-20	-	-	
synMTS_1_238_coa4	0.007	No mitochondrial presequence	49(MPP)	-0.020	37-41,41-45	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_239_coa4	0.027	No mitochondrial presequence	15(MPP), 16(Icp55)	-0.067	44-48	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_240_coa4	0.072	No mitochondrial presequence	15(MPP)	0.067	16-20	10-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_241_coa4	0.421	Possessing mitochondrial presequence	17(MPP)	0.235	64-68	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_242_coa4	0.050	No mitochondrial presequence	56(MPP)	-0.018	43-47,64-68	16-25-low	-	-	-	5-10	-	-	-	-	-	-	-	-	-	-	
synMTS_1_243_coa4	0.005	No mitochondrial presequence	13(MPP)	0.077	21-25	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_244_coa4	0.008	No mitochondrial presequence	88(MPP)	-0.091		18-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_245_coa4	0.009	No mitochondrial presequence	10(MPP)	0.100		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_246_coa4	0.003	No mitochondrial presequence	44(MPP)	-0.045	48-52	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_247_coa4	0.002	No mitochondrial presequence	29(MPP)	0.034		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_248_coa4	0.056	No mitochondrial presequence	48(MPP)	0.000	15-19,45-49	5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_249_coa4	0.002	No mitochondrial presequence	54(MPP)	-0.019		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_250_coa4	0.003	No mitochondrial presequence	90(MPP)	-0.200		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
