<pre>Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
synMTS_1_401_atp8	0.010	No mitochondrial presequence	85(MPP)	0.000	18-22,82-86,87-91	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_402_atp8	0.013	No mitochondrial presequence	5(MPP)	-0.200		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_403_atp8	0.047	No mitochondrial presequence	13(MPP)	-0.077		15-25-high	-	-	-	-	-	-	-	19-24	-	18-23	-	-	-	-	
synMTS_1_404_atp8	0.021	No mitochondrial presequence	6(MPP)	0.000		18-27-low	-	-	-	-	-	-	-	-	5-10	-	4-9	-	-	-	
synMTS_1_405_atp8	0.001	No mitochondrial presequence	67(MPP)	0.000		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_406_atp8	0.010	No mitochondrial presequence	83(MPP)	0.036	4-8,80-84,85-89	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_407_atp8	0.031	No mitochondrial presequence	82(MPP)	0.024	79-83,84-88	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_408_atp8	0.009	No mitochondrial presequence	93(MPP)	0.108	90-94,95-99	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_409_atp8	0.048	No mitochondrial presequence	47(MPP)	0.043	15-19	15-24-high	-	-	-	-	-	-	-	-	13-18	-	12-17	-	-	-	
synMTS_1_410_atp8	0.043	No mitochondrial presequence	45(MPP)	0.067	39-43,76-80,96-100	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	25-30	
synMTS_1_411_atp8	0.006	No mitochondrial presequence	27(MPP)	-0.037	4-8,29-33,56-60	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_412_atp8	0.036	No mitochondrial presequence	78(MPP)	0.051	8-12,14-18,75-79,80-84	20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_413_atp8	0.025	No mitochondrial presequence	88(MPP)	-0.023	85-89,90-94	18-27-low	-	-	-	-	-	1-6	-	-	-	-	-	-	-	-	
synMTS_1_414_atp8	0.013	No mitochondrial presequence	28(MPP)	-0.071	49-53	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_415_atp8	0.001	No mitochondrial presequence	90(MPP)	-0.056	88-92	18-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_416_atp8	0.041	No mitochondrial presequence	6(MPP)	0.000	19-23,37-41,80-84,84-88	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_417_atp8	0.019	No mitochondrial presequence	6(MPP), 7(Icp55)	0.000	9-13,86-90	9-18-high	-	-	-	-	-	-	-	-	12-17	-	-	-	-	-	
synMTS_1_418_atp8	0.014	No mitochondrial presequence	90(MPP)	-0.022	41-45,87-91,92-96	12-22-low	-	-	-	-	-	4-9	-	-	-	3-8	-	-	-	-	
synMTS_1_419_atp8	0.001	No mitochondrial presequence	34(MPP)	-0.118	32-36	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_420_atp8	0.013	No mitochondrial presequence	21(MPP)	0.000	33-37,43-47,89-93	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_421_atp8	0.008	No mitochondrial presequence	32(MPP)	0.031		14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_422_atp8	0.000	No mitochondrial presequence	39(MPP)	-0.051		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_423_atp8	0.050	No mitochondrial presequence	84(MPP)	0.036	81-85,86-90	17-26-low	-	-	-	-	-	-	-	-	-	-	5-10	-	-	-	
synMTS_1_424_atp8	0.008	No mitochondrial presequence	78(MPP), 79(Icp55)	0.038	76-80	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_425_atp8	0.015	No mitochondrial presequence	25(MPP)	-0.160		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_426_atp8	0.029	No mitochondrial presequence	5(MPP)	-0.400	24-28,54-58	11-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_427_atp8	0.000	No mitochondrial presequence	12(MPP), 13(Icp55)	-0.250	24-28,34-38,46-50,50-54	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_428_atp8	0.000	No mitochondrial presequence	6(MPP)	-0.333	49-53	4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_429_atp8	0.000	No mitochondrial presequence	12(MPP), 20(Oct1)	-0.167		6-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_430_atp8	0.001	No mitochondrial presequence	10(MPP)	-0.200	94-98	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_431_atp8	0.002	No mitochondrial presequence	84(MPP)	0.024	81-85,86-90	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_432_atp8	0.001	No mitochondrial presequence	17(MPP)	-0.059		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_433_atp8	0.046	No mitochondrial presequence	6(MPP)	0.000	25-29	17-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_434_atp8	0.010	No mitochondrial presequence	5(MPP)	-0.200	94-98	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_435_atp8	0.003	No mitochondrial presequence	18(MPP), 19(Icp55)	0.278	31-35,52-56	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_436_atp8	0.002	No mitochondrial presequence	63(MPP)	0.079		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_437_atp8	0.006	No mitochondrial presequence	93(MPP)	-0.043	90-94,95-99	2-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_438_atp8	0.009	No mitochondrial presequence	43(MPP)	0.116	54-58	20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_439_atp8	0.001	No mitochondrial presequence	19(MPP)	-0.211		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_440_atp8	0.040	No mitochondrial presequence	79(MPP)	0.038	76-80,81-85	19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_441_atp8	0.011	No mitochondrial presequence	33(MPP)	-0.121		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_442_atp8	0.001	No mitochondrial presequence	10(MPP), 11(Icp55)	0.000		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_443_atp8	0.008	No mitochondrial presequence	21(MPP)	0.095	14-18	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_444_atp8	0.008	No mitochondrial presequence	33(MPP)	0.061	7-11,94-98	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_445_atp8	0.001	No mitochondrial presequence	21(MPP), 22(Icp55)	0.095	93-97	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_446_atp8	0.006	No mitochondrial presequence	7(MPP), 8(Icp55)	0.000	74-78	6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_447_atp8	0.002	No mitochondrial presequence	9(MPP)	-0.222	63-67	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_448_atp8	0.034	No mitochondrial presequence	28(MPP), 29(Icp55)	-0.036	26-30	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_449_atp8	0.008	No mitochondrial presequence	17(MPP)	0.000	63-67	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_450_atp8	0.009	No mitochondrial presequence	15(MPP)	0.000	47-51,56-60	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_451_atp8	0.011	No mitochondrial presequence	71(MPP), 72(Icp55)	-0.014	59-63	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_452_atp8	0.018	No mitochondrial presequence	89(MPP)	0.011	86-90,91-95	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_453_atp8	0.021	No mitochondrial presequence	10(MPP)	0.000	48-52,76-80	14-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_454_atp8	0.020	No mitochondrial presequence	13(MPP)	0.000	76-80	6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_455_atp8	0.022	No mitochondrial presequence	91(MPP)	0.022	20-24,41-45,44-48,88-92,93-97	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_456_atp8	0.038	No mitochondrial presequence	91(MPP)	-0.011	10-14,88-92,93-97	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_457_atp8	0.016	No mitochondrial presequence	66(MPP)	0.091		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_458_atp8	0.003	No mitochondrial presequence	13(MPP)	0.000	41-45	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_459_atp8	0.001	No mitochondrial presequence	14(MPP), 15(Icp55)	0.000	28-32,47-51,52-56	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_460_atp8	0.020	No mitochondrial presequence	18(MPP)	0.000	13-17	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_461_atp8	0.003	No mitochondrial presequence	59(MPP), 60(Icp55)	-0.017	12-16	12-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_462_atp8	0.008	No mitochondrial presequence	83(MPP)	0.036	40-44,80-84,85-89	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_463_atp8	0.026	No mitochondrial presequence	15(MPP)	-0.067		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_464_atp8	0.000	No mitochondrial presequence	20(MPP)	-0.150		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_465_atp8	0.022	No mitochondrial presequence	23(MPP)	-0.043	32-36,35-39	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_466_atp8	0.041	No mitochondrial presequence	86(MPP)	-0.023	83-87,88-92	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_467_atp8	0.009	No mitochondrial presequence	94(MPP)	-0.032	91-95,96-100	2-11-low	-	-	-	-	-	-	-	-	-	-	1-6	-	-	-	
synMTS_1_468_atp8	0.010	No mitochondrial presequence	22(MPP), 23(Icp55)	-0.045		17-26-low	-	-	-	-	-	-	-	19-24	-	-	-	-	-	-	
synMTS_1_469_atp8	0.034	No mitochondrial presequence	80(MPP)	0.037	22-26,77-81,82-86	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_470_atp8	0.024	No mitochondrial presequence	18(MPP)	0.167	25-29	18-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_471_atp8	0.008	No mitochondrial presequence	14(MPP), 15(Icp55)	-0.071	40-44	12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_472_atp8	0.001	No mitochondrial presequence	22(MPP)	-0.227		10-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_473_atp8	0.020	No mitochondrial presequence	18(MPP)	0.000		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_474_atp8	0.005	No mitochondrial presequence	41(MPP)	0.000	1-5,35-39	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_475_atp8	0.033	No mitochondrial presequence	25(MPP)	0.040		1-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_476_atp8	0.011	No mitochondrial presequence	18(MPP)	0.056	33-37	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_477_atp8	0.011	No mitochondrial presequence	56(MPP)	0.018	41-45,60-64	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_478_atp8	0.009	No mitochondrial presequence	13(MPP)	0.000		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_479_atp8	0.002	No mitochondrial presequence	6(MPP)	-0.167	31-35,37-41	7-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
