<pre>Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
synMTS_1_582_var1	0.070	No mitochondrial presequence	39(MPP)	0.026		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_460_var1	0.020	No mitochondrial presequence	47(MPP)	0.021	13-17	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_467_var1	0.010	No mitochondrial presequence	7(MPP)	0.143		2-11-low	-	-	-	-	-	-	-	-	-	-	1-6	-	-	-	
synMTS_1_434_var1	0.044	No mitochondrial presequence	23(MPP)	0.000		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_462_var1	0.005	No mitochondrial presequence	43(MPP)	0.047	40-44	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_547_var1	0.040	No mitochondrial presequence	27(MPP)	0.000	35-39	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_470_var1	0.075	No mitochondrial presequence	90(MPP)	0.022	25-29	18-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_569_var1	0.037	No mitochondrial presequence	11(MPP)	0.091		20-30-low	-	-	-	-	-	-	-	-	6-11	-	-	-	-	-	
synMTS_1_522_var1	0.123	No mitochondrial presequence	19(MPP)	0.105		17-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_475_var1	0.056	No mitochondrial presequence	62(MPP)	-0.016		1-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_403_var1	0.087	No mitochondrial presequence	22(MPP)	0.000		15-25-high	-	-	-	-	-	-	-	19-24	-	18-23	-	-	-	-	
synMTS_1_565_var1	0.006	No mitochondrial presequence	35(MPP)	0.029		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_489_var1	0.004	No mitochondrial presequence	28(MPP), 29(Icp55)	-0.036		15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_542_var1	0.051	No mitochondrial presequence	18(MPP)	0.056	16-20,47-51,63-67	16-25-high	-	-	-	-	-	-	-	-	14-19	-	-	-	-	-	
synMTS_1_595_var1	0.001	No mitochondrial presequence	11(MPP)	0.182		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_435_var1	0.100	No mitochondrial presequence	34(MPP)	0.147	31-35,52-56	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_526_var1	0.036	No mitochondrial presequence	24(MPP)	0.042	21-25	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_482_var1	0.011	No mitochondrial presequence	25(MPP), 26(Icp55)	0.000	77-81	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_562_var1	0.047	No mitochondrial presequence	15(MPP)	0.067	13-17,43-47,50-54	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_458_var1	0.012	No mitochondrial presequence	63(MPP)	-0.032	41-45	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_425_var1	0.023	No mitochondrial presequence	27(MPP)	-0.111		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_570_var1	0.115	No mitochondrial presequence	14(MPP)	0.143	11-15,89-93	6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_557_var1	0.007	No mitochondrial presequence	15(MPP)	0.067	12-16	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_443_var1	0.009	No mitochondrial presequence	35(MPP)	0.000	14-18	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_551_var1	0.267	No mitochondrial presequence	29(MPP)	0.172	23-27,56-60	21-30-high	-	6-11	-	-	23-28	-	-	-	-	-	-	-	-	-	
synMTS_1_418_var1	0.023	No mitochondrial presequence	23(MPP)	0.000	41-45	12-21-low	-	-	-	-	-	4-9	-	-	-	3-8	-	-	-	-	
synMTS_1_588_var1	0.117	No mitochondrial presequence	32(MPP)	0.062	26-30,29-33,53-57	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_474_var1	0.017	No mitochondrial presequence	79(MPP), 80(Icp55)	0.000	1-5,35-39	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_513_var1	0.005	No mitochondrial presequence	69(MPP)	-0.029	51-55	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_413_var1	0.016	No mitochondrial presequence	45(MPP)	-0.067		18-27-low	-	-	-	-	-	1-6	-	-	-	-	-	-	-	-	
synMTS_1_481_var1	0.074	No mitochondrial presequence	59(MPP)	0.085	57-61	1-10-high	-	-	-	-	-	-	-	-	-	-	24-29	-	-	-	
synMTS_1_432_var1	0.001	No mitochondrial presequence	11(MPP)	0.000		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
