<pre>Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
synMTS_1_001_cox2	0.004	No mitochondrial presequence	51(MPP)	-0.059		19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_002_cox2	0.002	No mitochondrial presequence	93(MPP)	0.032	2-6,32-36,58-62,61-65,72-76	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_003_cox2	0.001	No mitochondrial presequence	6(MPP)	-0.333	7-11	4-15-low	-	-	-	-	-	-	-	-	-	-	-	-	7-12	-	
synMTS_1_004_cox2	0.019	No mitochondrial presequence	17(MPP)	-0.059	15-19,48-52,81-85	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_005_cox2	0.081	No mitochondrial presequence	53(MPP)	0.113	2-6	20-29-high	-	-	-	-	-	-	7-12	-	-	6-11	-	1-6	-	-	
synMTS_1_006_cox2	0.046	No mitochondrial presequence	54(MPP)	0.037	13-17,16-20	3-14-low	-	-	-	-	13-18	-	-	-	-	-	-	-	-	-	
synMTS_1_007_cox2	0.003	No mitochondrial presequence	8(MPP)	0.125		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_008_cox2	0.005	No mitochondrial presequence	82(MPP)	-0.024	73-77	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_009_cox2	0.006	No mitochondrial presequence	8(MPP)	-0.250	66-70	10-19-high	-	-	-	-	-	15-20	-	-	-	-	-	-	-	14-19	
synMTS_1_010_cox2	0.002	No mitochondrial presequence	37(MPP)	-0.108	44-48,53-57,74-78	11-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_011_cox2	0.007	No mitochondrial presequence	62(MPP)	-0.016	47-51	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_012_cox2	0.011	No mitochondrial presequence	18(MPP)	0.000	5-9,54-58	13-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_013_cox2	0.014	No mitochondrial presequence	60(MPP)	0.017		19-28-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_014_cox2	0.001	No mitochondrial presequence	92(MPP)	0.043	38-42,64-68	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_015_cox2	0.061	No mitochondrial presequence	70(MPP)	0.000	26-30	19-30-low	-	-	-	-	-	-	-	-	5-10	-	4-9	25-30	-	-	
synMTS_1_016_cox2	0.003	No mitochondrial presequence	32(MPP)	-0.031	82-86	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_017_cox2	0.002	No mitochondrial presequence	33(MPP)	-0.061	57-61,95-99	4-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_018_cox2	0.003	No mitochondrial presequence	31(MPP), 32(Icp55)	0.032	49-53,55-59	11-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_019_cox2	0.001	No mitochondrial presequence	7(MPP)	-0.429	15-19	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_020_cox2	0.002	No mitochondrial presequence	21(MPP)	-0.048		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_021_cox2	0.007	No mitochondrial presequence	82(MPP)	-0.037	31-35,44-48	3-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_022_cox2	0.010	No mitochondrial presequence	14(MPP)	0.071	24-28,39-43,59-63,67-71	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_023_cox2	0.027	No mitochondrial presequence	49(MPP)	0.041		10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_024_cox2	0.009	No mitochondrial presequence	67(MPP)	-0.060		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_025_cox2	0.005	No mitochondrial presequence	65(MPP)	0.046	10-14	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_026_cox2	0.003	No mitochondrial presequence	5(MPP)	-0.200	38-42	8-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_027_cox2	0.006	No mitochondrial presequence	83(MPP)	-0.012		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_028_cox2	0.001	No mitochondrial presequence	61(MPP)	-0.082		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_029_cox2	0.004	No mitochondrial presequence	26(MPP)	0.000	28-32,59-63	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_030_cox2	0.005	No mitochondrial presequence	95(MPP)	-0.105	66-70	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_031_cox2	0.002	No mitochondrial presequence	68(MPP)	-0.118	47-51	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_032_cox2	0.013	No mitochondrial presequence	64(MPP)	0.000	4-8	1-10-low	-	-	-	-	4-9	-	-	-	-	-	-	-	-	-	
synMTS_1_033_cox2	0.006	No mitochondrial presequence	72(MPP)	0.056	11-15,29-33	12-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_034_cox2	0.002	No mitochondrial presequence	11(MPP)	-0.091	30-34,47-51	15-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_035_cox2	0.022	No mitochondrial presequence	33(MPP)	-0.091	54-58,88-92,91-95	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_036_cox2	0.006	No mitochondrial presequence	60(MPP)	0.000	13-17,43-47	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_037_cox2	0.002	No mitochondrial presequence	48(MPP)	-0.021		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_038_cox2	0.004	No mitochondrial presequence	70(MPP)	-0.029		1-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_039_cox2	0.006	No mitochondrial presequence	61(MPP)	-0.033	52-56	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_040_cox2	0.034	No mitochondrial presequence	86(MPP)	0.058	73-77	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_041_cox2	0.008	No mitochondrial presequence	11(MPP)	0.000	73-77	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_042_cox2	0.028	No mitochondrial presequence	79(MPP)	0.051	70-74	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_043_cox2	0.040	No mitochondrial presequence	89(MPP)	0.022	11-15,15-19,73-77	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_044_cox2	0.017	No mitochondrial presequence	59(MPP)	-0.051		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_045_cox2	0.001	No mitochondrial presequence	86(MPP)	-0.128		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_046_cox2	0.001	No mitochondrial presequence	55(MPP)	-0.055		8-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_047_cox2	0.038	No mitochondrial presequence	34(MPP), 35(Icp55)	0.000		11-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_048_cox2	0.010	No mitochondrial presequence	15(MPP)	0.067	11-15	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_049_cox2	0.000	No mitochondrial presequence	76(MPP)	0.039	46-50	1-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_050_cox2	0.002	No mitochondrial presequence	11(MPP)	-0.091		12-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_051_cox2	0.031	No mitochondrial presequence	38(MPP)	0.026	50-54,66-70,69-73	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_052_cox2	0.010	No mitochondrial presequence	75(MPP)	0.013		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_053_cox2	0.007	No mitochondrial presequence	46(MPP), 47(Icp55)	0.130	75-79	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_054_cox2	0.030	No mitochondrial presequence	78(MPP)	0.051		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_055_cox2	0.015	No mitochondrial presequence	56(MPP)	0.018		12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_056_cox2	0.012	No mitochondrial presequence	12(MPP)	-0.250	45-49	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
