<pre>Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
synMTS_1_006_var1	0.349	No mitochondrial presequence	19(MPP)	0.105	13-17,16-20	3-14-low	-	-	-	-	13-18	-	-	-	-	-	-	-	-	-	
synMTS_1_126_var1	0.004	No mitochondrial presequence	6(MPP)	0.333		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_095_var1	0.050	No mitochondrial presequence	39(MPP)	0.051	24-28,31-35	19-28-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_061_var1	0.043	No mitochondrial presequence	10(MPP)	0.300	1-5,18-22,82-86	17-26-high	-	-	-	-	-	-	-	-	-	-	4-9	-	-	-	
synMTS_1_058_var1	0.015	No mitochondrial presequence	14(MPP)	-0.071	30-34	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_192_var1	0.023	No mitochondrial presequence	34(MPP)	0.029		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_007_var1	0.070	No mitochondrial presequence	64(MPP)	0.031		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_165_var1	0.042	No mitochondrial presequence	28(MPP)	0.179	7-11,11-15,46-50,52-56	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_157_var1	0.014	No mitochondrial presequence	92(MPP)	-0.033	34-38,39-43,79-83	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_114_var1	0.001	No mitochondrial presequence	44(MPP)	0.000		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_180_var1	0.034	No mitochondrial presequence	24(MPP), 25(Icp55)	-0.167		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_045_var1	0.001	No mitochondrial presequence	17(MPP)	-0.059		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_004_var1	0.027	No mitochondrial presequence	51(MPP)	-0.020	15-19,48-52,81-85	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_081_var1	0.040	No mitochondrial presequence	38(MPP)	0.026	31-35,50-54	18-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_134_var1	0.040	No mitochondrial presequence	56(MPP)	0.000	53-57,56-60	19-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_083_var1	0.089	No mitochondrial presequence	11(MPP)	0.273	8-12	1-10-high	-	-	-	-	-	-	1-6	-	-	-	-	-	-	-	
synMTS_1_028_var1	0.001	No mitochondrial presequence	5(MPP)	-0.400		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_026_var1	0.012	No mitochondrial presequence	74(MPP)	0.027	38-42	8-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_009_var1	0.019	No mitochondrial presequence	49(MPP)	0.061	66-70	10-19-high	-	-	-	-	-	15-20	-	-	-	-	-	-	-	14-19	
synMTS_1_049_var1	0.002	No mitochondrial presequence	58(MPP)	0.017	46-50	1-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_077_var1	0.025	No mitochondrial presequence	24(MPP)	-0.125		15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_109_var1	0.036	No mitochondrial presequence	27(MPP)	0.074	24-28	19-28-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_017_var1	0.003	No mitochondrial presequence	48(MPP)	-0.083	57-61,95-99	4-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_188_var1	0.006	No mitochondrial presequence	65(MPP)	-0.046	30-34,47-51,62-66	9-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_101_var1	0.008	No mitochondrial presequence	34(MPP)	-0.029	52-56,69-73	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_128_var1	0.005	No mitochondrial presequence	83(MPP)	-0.060		19-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_107_var1	0.046	No mitochondrial presequence	25(MPP)	0.200	19-23,22-26	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_169_var1	0.158	No mitochondrial presequence	40(MPP), 41(Icp55)	0.075	7-11,15-19,96-100	7-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_046_var1	0.003	No mitochondrial presequence	7(MPP)	0.143		8-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_193_var1	0.054	No mitochondrial presequence	45(MPP)	0.022	14-18	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_147_var1	0.002	No mitochondrial presequence	49(MPP)	-0.122		8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_106_var1	0.001	No mitochondrial presequence	41(MPP)	-0.122	20-24,38-42	2-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_113_var1	0.078	No mitochondrial presequence	47(MPP)	0.021	40-44,52-56,76-80,79-83,87-91	3-12-low	-	-	-	-	-	-	-	-	11-16	-	10-15	-	-	-	
synMTS_1_178_var1	0.019	No mitochondrial presequence	74(MPP)	-0.041	5-9,32-36,64-68,83-87	4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_174_var1	0.020	No mitochondrial presequence	9(MPP)	0.111	37-41	20-29-low	21-26	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_153_var1	0.007	No mitochondrial presequence	80(MPP)	0.000	59-63,94-98	3-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_056_var1	0.016	No mitochondrial presequence	63(MPP)	-0.079	45-49	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_159_var1	0.020	No mitochondrial presequence	10(MPP)	-0.100		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_016_var1	0.004	No mitochondrial presequence	85(MPP)	-0.012	82-86	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_166_var1	0.061	No mitochondrial presequence	39(MPP)	0.128		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_129_var1	0.019	No mitochondrial presequence	24(MPP)	0.125	64-68	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_025_var1	0.032	No mitochondrial presequence	13(MPP)	0.154	10-14	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_040_var1	0.194	No mitochondrial presequence	45(MPP)	0.067	73-77	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_149_var1	0.015	No mitochondrial presequence	26(MPP)	-0.038		18-27-low	-	25-30	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_152_var1	0.009	No mitochondrial presequence	55(MPP), 63(Oct1)	-0.036		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_164_var1	0.121	No mitochondrial presequence	30(MPP)	0.100	23-27	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_100_var1	0.217	No mitochondrial presequence	29(MPP)	0.138	27-31	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_111_var1	0.015	No mitochondrial presequence	34(MPP)	0.000	3-7,73-77	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_102_var1	0.001	No mitochondrial presequence	92(MPP)	-0.076		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_155_var1	0.033	No mitochondrial presequence	39(MPP)	-0.051	53-57	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_175_var1	0.002	No mitochondrial presequence	37(MPP)	0.108		18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_021_var1	0.025	No mitochondrial presequence	39(MPP)	0.000	31-35,44-48	3-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_184_var1	0.093	No mitochondrial presequence	14(MPP)	0.071	12-16,16-20,93-97	12-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_008_var1	0.014	No mitochondrial presequence	10(MPP)	0.100		5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
