<pre>Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
synMTS_1_201_hac1	0.003	No mitochondrial presequence	27(MPP)	-0.037	2-6	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_202_hac1	0.001	No mitochondrial presequence	28(MPP)	0.036	7-11	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_203_hac1	0.011	No mitochondrial presequence	18(MPP)	0.222	2-6	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_204_hac1	0.019	No mitochondrial presequence	30(MPP), 31(Icp55)	0.033	67-71,87-91	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_205_hac1	0.001	No mitochondrial presequence	61(MPP)	-0.049	14-18,38-42,58-62	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_206_hac1	0.001	No mitochondrial presequence	88(MPP)	0.011		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_207_hac1	0.004	No mitochondrial presequence	83(MPP)	-0.048	94-98	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_208_hac1	0.000	No mitochondrial presequence	12(MPP)	0.000		20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_209_hac1	0.021	No mitochondrial presequence	20(MPP)	-0.050	33-37,44-48	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_210_hac1	0.004	No mitochondrial presequence	94(MPP)	-0.085		7-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_211_hac1	0.010	No mitochondrial presequence	87(MPP)	0.057	33-37,46-50	19-28-high	-	-	-	-	-	-	-	-	-	20-25	-	-	-	-	
synMTS_1_212_hac1	0.004	No mitochondrial presequence	21(MPP)	-0.048	12-16,48-52,53-57	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_213_hac1	0.026	No mitochondrial presequence	79(MPP)	0.025	19-23,90-94	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_214_hac1	0.006	No mitochondrial presequence	35(MPP)	0.057	17-21,29-33,47-51	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_215_hac1	0.003	No mitochondrial presequence	95(MPP)	0.032	40-44,44-48	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_216_hac1	0.000	No mitochondrial presequence	7(MPP), 15(Oct1)	-0.143		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_217_hac1	0.012	No mitochondrial presequence	9(MPP)	0.333	51-55	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_218_hac1	0.000	No mitochondrial presequence	94(MPP)	-0.096		5-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_219_hac1	0.006	No mitochondrial presequence	6(MPP)	-0.500	33-37	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_220_hac1	0.017	No mitochondrial presequence	8(MPP)	-0.250	1-5,69-73,82-86	1-10-high	-	-	-	-	-	-	-	-	-	10-15	-	-	-	-	
