<pre>Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
synMTS_1_401_mmf1	0.015	No mitochondrial presequence	64(MPP)	0.047	18-22	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_402_mmf1	0.032	No mitochondrial presequence	92(MPP)	0.076		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_403_mmf1	0.083	No mitochondrial presequence	91(MPP)	0.022	72-76	15-25-high	-	-	-	-	-	-	-	19-24	-	18-23	-	-	-	-	
synMTS_1_404_mmf1	0.019	No mitochondrial presequence	6(MPP)	0.000		18-27-low	-	-	-	-	-	-	-	-	5-10	-	4-9	-	-	-	
synMTS_1_405_mmf1	0.001	No mitochondrial presequence	67(MPP)	0.000		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_406_mmf1	0.019	No mitochondrial presequence	62(MPP)	0.097	4-8	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_407_mmf1	0.044	No mitochondrial presequence	61(MPP)	0.082		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_408_mmf1	0.014	No mitochondrial presequence	72(MPP)	0.181		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_409_mmf1	0.099	No mitochondrial presequence	86(MPP)	0.081	15-19	15-24-high	-	-	-	-	-	-	-	-	13-18	-	12-17	-	-	-	
synMTS_1_410_mmf1	0.040	No mitochondrial presequence	45(MPP)	0.067	39-43,76-80,96-100	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	25-30	
synMTS_1_411_mmf1	0.017	No mitochondrial presequence	81(MPP)	0.000	4-8,29-33,56-60	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_412_mmf1	0.039	No mitochondrial presequence	57(MPP)	0.123	8-12,14-18	20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_413_mmf1	0.028	No mitochondrial presequence	67(MPP)	0.015		18-27-low	-	-	-	-	-	1-6	-	-	-	-	-	-	-	-	
synMTS_1_414_mmf1	0.022	No mitochondrial presequence	80(MPP)	0.037	49-53	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_415_mmf1	0.001	No mitochondrial presequence	90(MPP)	-0.056	88-92	18-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_416_mmf1	0.034	No mitochondrial presequence	6(MPP)	0.000	19-23,37-41,80-84,84-88	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_417_mmf1	0.017	No mitochondrial presequence	6(MPP), 7(Icp55)	0.000	9-13,86-90	9-18-high	-	-	-	-	-	-	-	-	12-17	-	-	-	-	-	
synMTS_1_418_mmf1	0.023	No mitochondrial presequence	69(MPP)	0.014	41-45	12-22-low	-	-	-	-	-	4-9	-	-	-	3-8	-	-	-	-	
synMTS_1_419_mmf1	0.000	No mitochondrial presequence	34(MPP)	-0.118	32-36	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_420_mmf1	0.012	No mitochondrial presequence	21(MPP)	0.000	33-37,43-47,89-93	18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_421_mmf1	0.006	No mitochondrial presequence	32(MPP)	0.031		14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_422_mmf1	0.000	No mitochondrial presequence	93(MPP)	-0.022		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_423_mmf1	0.056	No mitochondrial presequence	63(MPP)	0.095		17-26-low	-	-	-	-	-	-	-	-	-	-	5-10	-	-	-	
synMTS_1_424_mmf1	0.008	No mitochondrial presequence	90(MPP)	0.044	76-80	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_425_mmf1	0.014	No mitochondrial presequence	25(MPP)	-0.160		3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_426_mmf1	0.078	No mitochondrial presequence	92(MPP)	0.087	24-28,54-58	11-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_427_mmf1	0.000	No mitochondrial presequence	12(MPP), 13(Icp55)	-0.250	24-28,34-38,46-50,50-54	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_428_mmf1	0.001	No mitochondrial presequence	92(MPP)	0.000	49-53	4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_429_mmf1	0.001	No mitochondrial presequence	94(MPP)	-0.011		6-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_430_mmf1	0.002	No mitochondrial presequence	76(MPP)	0.079		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_431_mmf1	0.004	No mitochondrial presequence	63(MPP)	0.079		15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_432_mmf1	0.001	No mitochondrial presequence	17(MPP)	-0.059		12-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_433_mmf1	0.072	No mitochondrial presequence	87(MPP)	0.069	25-29	17-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_434_mmf1	0.026	No mitochondrial presequence	76(MPP)	0.039		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_435_mmf1	0.003	No mitochondrial presequence	95(MPP)	0.063	31-35,52-56	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_436_mmf1	0.007	No mitochondrial presequence	80(MPP)	0.113		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_437_mmf1	0.011	No mitochondrial presequence	72(MPP)	-0.014		2-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_438_mmf1	0.008	No mitochondrial presequence	43(MPP)	0.116	54-58	20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_439_mmf1	0.000	No mitochondrial presequence	19(MPP)	-0.211		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_440_mmf1	0.068	No mitochondrial presequence	58(MPP)	0.103		19-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_441_mmf1	0.010	No mitochondrial presequence	33(MPP)	-0.121		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_442_mmf1	0.006	No mitochondrial presequence	79(MPP)	-0.013		21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_443_mmf1	0.008	No mitochondrial presequence	95(MPP)	0.032	14-18	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_444_mmf1	0.006	No mitochondrial presequence	33(MPP)	0.061	7-11,94-98	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_445_mmf1	0.004	No mitochondrial presequence	75(MPP)	0.027		10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_446_mmf1	0.009	No mitochondrial presequence	90(MPP)	0.089	74-78	6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_447_mmf1	0.002	No mitochondrial presequence	9(MPP)	-0.222	63-67	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_448_mmf1	0.032	No mitochondrial presequence	28(MPP), 29(Icp55)	-0.036	26-30	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_449_mmf1	0.017	No mitochondrial presequence	92(MPP)	0.033	63-67	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_450_mmf1	0.008	No mitochondrial presequence	15(MPP)	0.000	47-51,56-60	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_451_mmf1	0.009	No mitochondrial presequence	71(MPP), 72(Icp55)	-0.014	59-63	7-16-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_452_mmf1	0.026	No mitochondrial presequence	68(MPP)	0.059		16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_453_mmf1	0.020	No mitochondrial presequence	10(MPP)	0.000	48-52,76-80	14-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_454_mmf1	0.016	No mitochondrial presequence	13(MPP)	0.000	76-80	6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_455_mmf1	0.038	No mitochondrial presequence	70(MPP)	0.071	20-24,41-45,44-48	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_456_mmf1	0.058	No mitochondrial presequence	70(MPP)	0.029	10-14	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_457_mmf1	0.015	No mitochondrial presequence	66(MPP)	0.091		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
