<pre>Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
synMTS_1_330_var1	0.006	No mitochondrial presequence	43(MPP)	-0.023	53-57	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_257_var1	0.021	No mitochondrial presequence	18(MPP)	0.056	41-45	10-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_352_var1	0.042	No mitochondrial presequence	14(MPP)	0.000	54-58	14-23-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_258_var1	0.049	No mitochondrial presequence	56(MPP)	0.071	53-57,75-79	5-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_285_var1	0.881	Possessing mitochondrial presequence	29(MPP), 30(Icp55)	0.172	8-12,43-47,96-100	8-17-high	-	-	-	-	8-13	-	1-6	11-16	-	-	-	-	-	-	
synMTS_1_247_var1	0.005	No mitochondrial presequence	29(MPP)	0.034		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_361_var1	0.417	Possessing mitochondrial presequence	27(MPP), 28(Icp55)	0.185		20-30-high	-	15-20	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_261_var1	0.000	No mitochondrial presequence	8(MPP)	0.125		11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_296_var1	0.111	No mitochondrial presequence	24(MPP)	-0.083	6-10,58-62	2-11-high	-	-	-	-	-	25-30	-	-	-	-	-	-	-	24-29	
synMTS_1_376_var1	0.041	No mitochondrial presequence	28(MPP)	0.036		6-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_239_var1	0.031	No mitochondrial presequence	15(MPP), 16(Icp55)	-0.067	44-48	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_346_var1	0.019	No mitochondrial presequence	15(MPP)	0.000	41-45	21-30-low	-	-	-	-	-	-	25-30	-	-	-	-	-	-	-	
synMTS_1_297_var1	0.041	No mitochondrial presequence	6(MPP)	0.167	32-36	18-29-low	-	-	-	-	-	-	3-8	-	-	2-7	-	-	-	-	
synMTS_1_384_var1	0.006	No mitochondrial presequence	29(MPP)	-0.069	96-100	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_325_var1	0.183	No mitochondrial presequence	14(MPP), 15(Icp55)	-0.071	11-15	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_298_var1	0.060	No mitochondrial presequence	44(MPP)	-0.023		12-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_388_var1	0.446	Possessing mitochondrial presequence	13(MPP)	0.154	48-52,51-55	6-18-high	-	-	-	-	-	-	20-25	-	-	19-24	-	-	-	-	
synMTS_1_347_var1	0.055	No mitochondrial presequence	48(MPP)	0.042		9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_375_var1	0.014	No mitochondrial presequence	27(MPP)	0.000		6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_394_var1	0.036	No mitochondrial presequence	26(MPP)	0.115		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_370_var1	0.003	No mitochondrial presequence	33(MPP)	-0.091	30-34,63-67	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_391_var1	0.001	No mitochondrial presequence	21(MPP)	-0.048		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_224_var1	0.016	No mitochondrial presequence	66(MPP)	0.030	23-27	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_203_var1	0.314	No mitochondrial presequence	72(MPP), 73(Icp55)	0.042	2-6	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_231_var1	0.053	No mitochondrial presequence	19(MPP)	0.105		1-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_303_var1	0.030	No mitochondrial presequence	74(MPP)	0.068		1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_215_var1	0.007	No mitochondrial presequence	5(MPP)	-0.200	40-44,44-48	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_373_var1	0.006	No mitochondrial presequence	24(MPP)	0.167	21-25	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_319_var1	0.047	No mitochondrial presequence	40(MPP)	0.150	28-32	6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_284_var1	0.003	No mitochondrial presequence	15(MPP)	0.067		19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_329_var1	0.001	No mitochondrial presequence	44(MPP)	-0.091		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_380_var1	0.066	No mitochondrial presequence	14(MPP)	0.071	11-15,15-19	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_278_var1	0.078	No mitochondrial presequence	25(MPP)	0.000		7-16-high	-	-	-	-	-	-	25-30	-	-	-	-	-	-	-	
synMTS_1_328_var1	0.052	No mitochondrial presequence	14(MPP)	0.071	15-19	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_339_var1	0.013	No mitochondrial presequence	22(MPP)	-0.045		6-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_222_var1	0.040	No mitochondrial presequence	21(MPP)	0.000	73-77	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_343_var1	0.024	No mitochondrial presequence	62(MPP)	0.032	27-31,32-36,59-63	19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_213_var1	0.039	No mitochondrial presequence	22(MPP)	0.000	19-23	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_263_var1	0.023	No mitochondrial presequence	37(MPP)	-0.162	44-48	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_283_var1	0.019	No mitochondrial presequence	46(MPP)	0.087	43-47,50-54,70-74	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_288_var1	0.146	No mitochondrial presequence	19(MPP)	0.105	2-6,19-23,23-27	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_220_var1	0.068	No mitochondrial presequence	52(MPP), 60(Oct1)	0.115	1-5,69-73,82-86	1-10-high	-	-	-	-	-	-	-	-	-	10-15	-	-	-	-	
synMTS_1_208_var1	0.002	No mitochondrial presequence	11(MPP)	0.000		20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_287_var1	0.086	No mitochondrial presequence	30(MPP)	0.133	17-21,20-24,27-31,78-82	1-10-low	-	-	-	21-26	-	-	-	-	-	-	-	-	-	-	
synMTS_1_300_var1	0.037	No mitochondrial presequence	68(MPP)	-0.029		16-25-low	-	-	-	-	-	-	-	-	-	-	23-28	-	-	-	
synMTS_1_383_var1	0.162	No mitochondrial presequence	17(MPP)	0.176	8-12,11-15,14-18,62-66,69-73,94-98	7-16-high	-	-	-	-	11-16	-	-	-	6-11	-	5-10	-	-	-	
synMTS_1_312_var1	0.148	No mitochondrial presequence	12(MPP)	0.083	46-50	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_363_var1	0.008	No mitochondrial presequence	30(MPP)	0.067	4-8,96-100	1-10-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_398_var1	0.003	No mitochondrial presequence	45(MPP)	-0.044		1-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_270_var1	0.018	No mitochondrial presequence	56(MPP)	0.107		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_255_var1	0.330	No mitochondrial presequence	35(MPP)	0.229	55-59	18-27-low	-	13-18	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_304_var1	0.008	No mitochondrial presequence	49(MPP)	-0.102		17-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_309_var1	0.042	No mitochondrial presequence	12(MPP)	0.083		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_226_var1	0.010	No mitochondrial presequence	51(MPP)	-0.059	87-91	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_280_var1	0.030	No mitochondrial presequence	55(MPP)	0.055	30-34,49-53	17-26-low	-	-	-	-	-	-	-	-	3-8	-	2-7	-	-	-	
synMTS_1_371_var1	0.000	No mitochondrial presequence	25(MPP)	-0.160	94-98	17-28-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_333_var1	0.043	No mitochondrial presequence	28(MPP)	0.000	4-8,49-53	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_264_var1	0.013	No mitochondrial presequence	46(MPP)	-0.022		13-22-high	-	11-16	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_234_var1	0.044	No mitochondrial presequence	35(MPP)	-0.029		13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_305_var1	0.026	No mitochondrial presequence	62(MPP)	0.016	88-92	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_360_var1	0.006	No mitochondrial presequence	62(MPP)	-0.048	51-55	4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_387_var1	0.072	No mitochondrial presequence	55(MPP)	0.018	25-29,44-48,80-84	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_323_var1	0.021	No mitochondrial presequence	20(MPP)	0.000		8-18-high	-	-	-	-	-	-	-	-	-	-	14-19	-	-	-	
synMTS_1_372_var1	0.014	No mitochondrial presequence	31(MPP)	-0.032		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_240_var1	0.098	No mitochondrial presequence	15(MPP)	0.067	16-20	10-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_253_var1	0.001	No mitochondrial presequence	37(MPP)	-0.081	95-99	9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_315_var1	0.296	No mitochondrial presequence	33(MPP)	0.152	18-22	13-27-high	-	-	-	-	-	-	22-27	-	-	21-26	-	-	-	-	
