<pre>Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
synMTS_1_001_atp8	0.009	No mitochondrial presequence	82(MPP)	-0.024	79-83,84-88	19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_002_atp8	0.002	No mitochondrial presequence	21(MPP)	0.190	2-6,32-36,58-62,61-65,72-76	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_003_atp8	0.001	No mitochondrial presequence	6(MPP)	-0.333	7-11	4-15-low	-	-	-	-	-	-	-	-	-	-	-	-	7-12	-	
synMTS_1_004_atp8	0.020	No mitochondrial presequence	17(MPP)	-0.059	15-19,48-52,81-85	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_005_atp8	0.092	No mitochondrial presequence	84(MPP)	0.083	2-6,81-85,86-90	20-29-high	-	-	-	-	-	-	7-12	-	-	6-11	-	1-6	-	-	
synMTS_1_006_atp8	0.085	No mitochondrial presequence	85(MPP)	0.035	13-17,16-20,82-86,87-91	3-14-low	-	-	-	-	13-18	-	-	-	-	-	-	-	-	-	
synMTS_1_007_atp8	0.004	No mitochondrial presequence	8(MPP)	0.125		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_008_atp8	0.004	No mitochondrial presequence	60(MPP), 61(Icp55)	-0.017		5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_009_atp8	0.006	No mitochondrial presequence	8(MPP)	-0.250	66-70	10-19-high	-	-	-	-	-	15-20	-	-	-	-	-	-	-	14-19	
synMTS_1_010_atp8	0.002	No mitochondrial presequence	37(MPP)	-0.108	44-48,53-57,74-78	11-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_011_atp8	0.010	No mitochondrial presequence	93(MPP)	0.000	47-51,90-94,95-99	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_012_atp8	0.012	No mitochondrial presequence	18(MPP)	0.000	5-9,54-58	13-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_013_atp8	0.022	No mitochondrial presequence	91(MPP)	0.022	88-92,93-97	19-28-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_014_atp8	0.001	No mitochondrial presequence	15(MPP)	-0.133	38-42,64-68	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_015_atp8	0.050	No mitochondrial presequence	4(MPP)	0.000	26-30	19-30-low	-	-	-	-	-	-	-	-	5-10	-	4-9	25-30	-	-	
synMTS_1_016_atp8	0.003	No mitochondrial presequence	32(MPP)	-0.031	82-86	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_017_atp8	0.002	No mitochondrial presequence	33(MPP)	-0.061	57-61,95-99	4-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_018_atp8	0.003	No mitochondrial presequence	31(MPP), 32(Icp55)	0.032	49-53,55-59	11-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_019_atp8	0.001	No mitochondrial presequence	7(MPP)	-0.429	15-19	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_020_atp8	0.003	No mitochondrial presequence	21(MPP)	-0.048		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_021_atp8	0.005	No mitochondrial presequence	7(MPP)	-0.286	31-35,44-48	3-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_022_atp8	0.011	No mitochondrial presequence	14(MPP)	0.071	24-28,39-43,59-63,67-71	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_023_atp8	0.039	No mitochondrial presequence	80(MPP)	0.037	77-81,82-86	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_024_atp8	0.008	No mitochondrial presequence	17(MPP)	-0.118	95-99	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_025_atp8	0.005	No mitochondrial presequence	20(MPP)	0.100	10-14,93-97	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_026_atp8	0.003	No mitochondrial presequence	5(MPP)	-0.200	38-42	8-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_027_atp8	0.005	No mitochondrial presequence	5(MPP)	-0.200		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_028_atp8	0.003	No mitochondrial presequence	92(MPP)	-0.043	89-93,94-98	1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
