<pre>Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
synMTS_1_001_mmf1	0.013	No mitochondrial presequence	61(MPP)	0.016		19-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_002_mmf1	0.003	No mitochondrial presequence	35(MPP)	0.086	2-6,32-36,58-62,61-65,72-76	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_003_mmf1	0.001	No mitochondrial presequence	88(MPP)	-0.091	7-11	4-15-low	-	-	-	-	-	-	-	-	-	-	-	-	7-12	-	
synMTS_1_004_mmf1	0.024	No mitochondrial presequence	51(MPP)	-0.020	15-19,48-52,81-85	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_005_mmf1	0.282	No mitochondrial presequence	63(MPP)	0.159	2-6	20-29-high	-	-	-	-	-	-	7-12	-	-	6-11	-	1-6	-	-	
synMTS_1_006_mmf1	0.440	Possessing mitochondrial presequence	19(MPP)	0.105	13-17,16-20	3-14-low	-	-	-	-	13-18	-	-	-	-	-	-	-	-	-	
synMTS_1_007_mmf1	0.052	No mitochondrial presequence	64(MPP)	0.031		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_008_mmf1	0.015	No mitochondrial presequence	92(MPP)	0.022	73-77	5-14-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_009_mmf1	0.015	No mitochondrial presequence	49(MPP)	0.061	66-70	10-19-high	-	-	-	-	-	15-20	-	-	-	-	-	-	-	14-19	
synMTS_1_010_mmf1	0.004	No mitochondrial presequence	56(MPP)	-0.089	44-48,53-57,74-78	11-21-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_011_mmf1	0.011	No mitochondrial presequence	72(MPP)	0.042	47-51	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_012_mmf1	0.017	No mitochondrial presequence	27(MPP)	0.074	5-9,54-58	13-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_013_mmf1	0.041	No mitochondrial presequence	70(MPP)	0.071		19-28-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_014_mmf1	0.011	No mitochondrial presequence	67(MPP)	0.045	38-42,64-68	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_015_mmf1	0.230	No mitochondrial presequence	29(MPP)	0.138	26-30	19-30-low	-	-	-	-	-	-	-	-	5-10	-	4-9	25-30	-	-	
synMTS_1_016_mmf1	0.003	No mitochondrial presequence	85(MPP)	-0.012	82-86	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_017_mmf1	0.003	No mitochondrial presequence	48(MPP)	-0.083	57-61,95-99	4-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_018_mmf1	0.019	No mitochondrial presequence	35(MPP)	0.057	49-53,55-59	11-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_019_mmf1	0.005	No mitochondrial presequence	26(MPP)	-0.038	15-19	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_020_mmf1	0.003	No mitochondrial presequence	69(MPP)	-0.043		14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_021_mmf1	0.022	No mitochondrial presequence	39(MPP)	0.000	31-35,44-48	3-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_022_mmf1	0.018	No mitochondrial presequence	52(MPP)	0.077	24-28,39-43,59-63,67-71	20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_023_mmf1	0.050	No mitochondrial presequence	59(MPP)	0.102		10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_024_mmf1	0.023	No mitochondrial presequence	77(MPP)	0.000		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_025_mmf1	0.028	No mitochondrial presequence	75(MPP)	0.093	10-14	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_026_mmf1	0.010	No mitochondrial presequence	74(MPP)	0.027	38-42	8-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_027_mmf1	0.009	No mitochondrial presequence	93(MPP)	0.032		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_028_mmf1	0.004	No mitochondrial presequence	71(MPP)	-0.014		1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_029_mmf1	0.014	No mitochondrial presequence	62(MPP), 63(Icp55)	-0.081	28-32,59-63	11-20-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
