<pre>Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
synMTS_1_201_mmf1	0.027	No mitochondrial presequence	85(MPP)	0.082	2-6,66-70	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_202_mmf1	0.009	No mitochondrial presequence	95(MPP)	0.053	7-11,76-80	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_203_mmf1	0.014	No mitochondrial presequence	18(MPP)	0.222	2-6	2-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_204_mmf1	0.023	No mitochondrial presequence	30(MPP), 31(Icp55)	0.033	67-71,87-91	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_205_mmf1	0.005	No mitochondrial presequence	78(MPP)	0.013	14-18,38-42,58-62	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_206_mmf1	0.005	No mitochondrial presequence	73(MPP)	0.055		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_207_mmf1	0.018	No mitochondrial presequence	68(MPP)	-0.015		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_208_mmf1	0.000	No mitochondrial presequence	88(MPP)	-0.023		20-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_209_mmf1	0.064	No mitochondrial presequence	94(MPP)	0.074	33-37,44-48	3-12-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_210_mmf1	0.012	No mitochondrial presequence	81(MPP)	-0.049	62-66	7-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_211_mmf1	0.085	No mitochondrial presequence	72(MPP)	0.111	33-37,46-50	19-28-high	-	-	-	-	-	-	-	-	-	20-25	-	-	-	-	
synMTS_1_212_mmf1	0.006	No mitochondrial presequence	94(MPP)	0.032	12-16,48-52,53-57	7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_213_mmf1	0.044	No mitochondrial presequence	64(MPP)	0.078	19-23	16-25-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_214_mmf1	0.008	No mitochondrial presequence	35(MPP)	0.057	17-21,29-33,47-51	13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_215_mmf1	0.015	No mitochondrial presequence	82(MPP)	0.085	40-44,44-48	11-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_216_mmf1	0.001	No mitochondrial presequence	7(MPP), 15(Oct1)	-0.143		5-14-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_217_mmf1	0.013	No mitochondrial presequence	9(MPP)	0.333	51-55	14-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_218_mmf1	0.002	No mitochondrial presequence	81(MPP)	-0.062		5-15-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_219_mmf1	0.010	No mitochondrial presequence	90(MPP)	0.044	33-37	15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_220_mmf1	0.021	No mitochondrial presequence	8(MPP)	-0.250	1-5,69-73,82-86	1-10-high	-	-	-	-	-	-	-	-	-	10-15	-	-	-	-	
synMTS_1_221_mmf1	0.005	No mitochondrial presequence	93(MPP)	0.054	31-35	1-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_222_mmf1	0.009	No mitochondrial presequence	91(MPP)	0.011	73-77	17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_223_mmf1	0.006	No mitochondrial presequence	85(MPP)	-0.024	7-11	6-16-high	-	-	-	-	-	-	-	-	5-10	-	-	-	-	-	
synMTS_1_224_mmf1	0.004	No mitochondrial presequence	44(MPP)	0.068	23-27	18-27-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_225_mmf1	0.019	No mitochondrial presequence	94(MPP)	-0.053	13-17,29-33	9-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_226_mmf1	0.007	No mitochondrial presequence	8(MPP)	-0.375	87-91	16-25-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_227_mmf1	0.001	No mitochondrial presequence	32(MPP)	-0.125		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_228_mmf1	0.011	No mitochondrial presequence	34(MPP)	0.059		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_229_mmf1	0.001	No mitochondrial presequence	6(MPP)	-0.167		11-20-low	-	-	-	-	-	-	-	-	5-10	-	-	-	-	-	
synMTS_1_230_mmf1	0.034	No mitochondrial presequence	93(MPP)	0.075	7-11,30-34	4-13-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_231_mmf1	0.045	No mitochondrial presequence	65(MPP)	0.062		1-11-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_232_mmf1	0.056	No mitochondrial presequence	71(MPP)	0.085	23-27	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_233_mmf1	0.115	No mitochondrial presequence	66(MPP)	0.030	9-13	2-13-high	11-16	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_234_mmf1	0.029	No mitochondrial presequence	73(MPP)	0.068		13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_235_mmf1	0.002	No mitochondrial presequence	81(MPP)	-0.012		2-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_236_mmf1	0.001	No mitochondrial presequence	72(MPP)	0.069	25-29	15-24-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_237_mmf1	0.070	No mitochondrial presequence	22(MPP)	0.136	7-11,12-16,16-20,19-23,44-48,78-82,83-87	5-14-low	-	-	-	-	19-24	-	-	-	-	-	-	15-20	-	-	
synMTS_1_238_mmf1	0.007	No mitochondrial presequence	67(MPP)	0.045	37-41,41-45	2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_239_mmf1	0.036	No mitochondrial presequence	68(MPP)	-0.029	44-48	13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_240_mmf1	0.077	No mitochondrial presequence	92(MPP)	0.065	16-20	10-20-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_241_mmf1	0.056	No mitochondrial presequence	89(MPP)	0.101	64-68	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_242_mmf1	0.017	No mitochondrial presequence	84(MPP)	0.036	43-47,64-68	16-25-low	-	-	-	5-10	-	-	-	-	-	-	-	-	-	-	
synMTS_1_243_mmf1	0.004	No mitochondrial presequence	19(MPP)	-0.053	21-25	10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_244_mmf1	0.003	No mitochondrial presequence	17(MPP)	-0.059		18-29-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_245_mmf1	0.007	No mitochondrial presequence	82(MPP)	0.049		4-13-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_246_mmf1	0.002	No mitochondrial presequence	11(MPP)	0.000	48-52	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_247_mmf1	0.001	No mitochondrial presequence	90(MPP)	0.111		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_248_mmf1	0.047	No mitochondrial presequence	29(MPP)	0.069	15-19,45-49	8-17-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_249_mmf1	0.003	No mitochondrial presequence	88(MPP)	-0.011		17-26-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_250_mmf1	0.007	No mitochondrial presequence	73(MPP)	-0.068		13-22-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_251_mmf1	0.031	No mitochondrial presequence	90(MPP)	0.000		18-27-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_252_mmf1	0.000	No mitochondrial presequence	15(MPP)	0.000	54-58	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_253_mmf1	0.004	No mitochondrial presequence	59(MPP)	0.017		9-18-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_254_mmf1	0.047	No mitochondrial presequence	92(MPP)	0.000		2-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_255_mmf1	0.114	No mitochondrial presequence	79(MPP)	0.177	55-59,60-64	1-12-high	-	13-18	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_256_mmf1	0.001	No mitochondrial presequence	83(MPP)	-0.048		1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_257_mmf1	0.016	No mitochondrial presequence	77(MPP)	0.013	41-45	10-19-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_258_mmf1	0.028	No mitochondrial presequence	85(MPP)	0.047	53-57,75-79	5-17-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
