<pre>Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
synMTS_1_401_hac1	0.005	No mitochondrial presequence	79(MPP)	0.000	18-22,90-94	17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_402_hac1	0.004	No mitochondrial presequence	5(MPP)	-0.200		15-24-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_403_hac1	0.033	No mitochondrial presequence	13(MPP)	-0.077		15-25-high	-	-	-	-	-	-	-	19-24	-	18-23	-	-	-	-	
synMTS_1_404_hac1	0.016	No mitochondrial presequence	6(MPP)	0.000		18-27-low	-	-	-	-	-	-	-	-	5-10	-	4-9	-	-	-	
synMTS_1_405_hac1	0.001	No mitochondrial presequence	67(MPP)	0.000		7-16-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_406_hac1	0.004	No mitochondrial presequence	77(MPP)	0.039	4-8,88-92	3-12-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_407_hac1	0.022	No mitochondrial presequence	95(MPP)	0.074	87-91	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_408_hac1	0.001	No mitochondrial presequence	87(MPP)	0.115		10-19-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_409_hac1	0.038	No mitochondrial presequence	47(MPP)	0.043	15-19	15-24-high	-	-	-	-	-	-	-	-	13-18	-	12-17	-	-	-	
synMTS_1_410_hac1	0.034	No mitochondrial presequence	45(MPP)	0.067	39-43,76-80,96-100	21-30-high	-	-	-	-	-	-	-	-	-	-	-	-	-	25-30	
synMTS_1_411_hac1	0.003	No mitochondrial presequence	94(MPP)	-0.043	4-8,29-33,56-60	1-10-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_412_hac1	0.035	No mitochondrial presequence	92(MPP)	0.098	8-12,14-18,83-87	20-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
synMTS_1_413_hac1	0.016	No mitochondrial presequence	82(MPP)	-0.024	93-97	18-27-low	-	-	-	-	-	1-6	-	-	-	-	-	-	-	-	
synMTS_1_414_hac1	0.009	No mitochondrial presequence	95(MPP)	0.000	49-53	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
